Comment,Designator,Footprint,LCSCStockCode
"ATtiny841-SSU","ATTINY841","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","C219103"
"100nF","C1","Capacitor_SMD:C_0805_2012Metric","C49678"
"1uF","C2","Capacitor_SMD:C_0805_2012Metric","C28323"
"22pF","C4,C5","Capacitor_SMD:C_0805_2012Metric","C1804"
"AZ432ANTR-E1","D1","Package_TO_SOT_SMD:SOT-23","C84139"
"SMBJ5.0A","D2","Diode_SMD:D_SMB","C440263"
"Red","D3","LED_SMD:LED_0805_2012Metric","C84256"
"Blue","D4","LED_SMD:LED_0805_2012Metric","C2293"
"Ext Temp Sensor","EXTTEMP1,REMOTE1","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","C265016"
"mSMD150","F1","Fuse:Fuse_1812_4532Metric","C70121"
"-VE","J1","MountingHole:MountingHole_6.4mm_M6_Pad_Via",""
"AVR-ISP-6","J2","Pin_Headers:Pin_Header_Straight_2x03_Pitch2.54mm","C65114"
"+VE","J3","MountingHole:MountingHole_6.4mm_M6_Pad_Via",""
"AO3400A","Q1","TO_SOT_Packages_SMD:SOT-23","C20917"
"10KOHMS","R1,R15,R20,R21","Resistor_SMD:R_0805_2012Metric","C17414"
"510OHMS","R14","Resistor_SMD:R_0805_2012Metric","C17734"
"2.2KOHMS","R16,R17,R18","Resistor_SMD:R_0805_2012Metric","C17520"
"CMFB103F3950FANT","TH1,R19","Resistor_SMD:R_0805_2012Metric","C51597"
"1KOHMS","R2","Resistor_SMD:R_0805_2012Metric","C17513"
"6.8K","R3","Resistor_SMD:R_0805_2012Metric","C17772"
"3.3OHM 3/4W","R6,R8,R12,R22,R24,R25,R26,R29,R30","Resistor_SMD:R_2010_5025Metric","C270971"
"2.7K","R4","Resistor_SMD:R_0805_2012Metric","C17530"
"220 OHMS","R5","Resistor_SMD:R_0805_2012Metric","C17557"
"RX Connector","RX1,RX2","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","C265016"
"TX Connector","TX1,TX2","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","C265016"
"EL3H7(B)(TA)-G","U1","Package_SO:SOP-4_4.4x2.6mm_P1.27mm","C32565"
"8MHZ Ceramic Resonator","Y1","Crystals:Crystal_SMD_5032-2pin_5.0x3.2mm","C115962"